name,com,app,money,io,cash,free_count
clanlift,FREE,FREE,FREE,FREE,FREE,5
clanmint,FREE,FREE,REG,FREE,FREE,4
clanmoney,FREE,FREE,FREE,FREE,REG,4
clanmove,FREE,FREE,FREE,FREE,FREE,5
clanona,FREE,FREE,REG,FREE,FREE,4
clanoso,FREE,FREE,FREE,FREE,REG,4
clanpop,FREE,FREE,FREE,FREE,FREE,5
clanroute,FREE,FREE,REG,FREE,FREE,4
clanrun,FREE,FREE,FREE,FREE,REG,4
clansend,FREE,FREE,FREE,FREE,FREE,5
clanshare,FREE,FREE,REG,FREE,FREE,4
clanslide,FREE,FREE,FREE,FREE,REG,4
clansnap,FREE,FREE,FREE,FREE,FREE,5
clanspread,FREE,FREE,REG,FREE,FREE,4
clanstream,FREE,FREE,FREE,FREE,REG,4
clanswipe,FREE,FREE,FREE,FREE,FREE,5
clantap,FREE,FREE,REG,FREE,FREE,4
clanufy,FREE,FREE,FREE,FREE,REG,4
clanzap,FREE,FREE,FREE,FREE,FREE,5
clubbump,FREE,FREE,REG,FREE,FREE,4
clubona,FREE,FREE,FREE,FREE,REG,4
cluboso,FREE,FREE,FREE,FREE,FREE,5
clubpay,PARKED,PARKED,FREE,REG,FREE,2
clubsend,PARKED,FREE,FREE,FREE,FREE,4
clubspread,FREE,FREE,REG,FREE,FREE,4
clubtip,REG,FREE,FREE,FREE,FREE,4
clubufy,FREE,FREE,FREE,FREE,REG,4
coinbuddy,PARKED,REG,FREE,REG,FREE,2
coinena,FREE,ERR,FREE,FREE,FREE,4
coinklan,FREE,FREE,REG,FREE,FREE,4
coinmate,REG,REG,FREE,REG,FREE,2
coinpal,REG,REG,FREE,REG,FREE,2
coinufy,FREE,FREE,FREE,FREE,REG,4
crew,REG,REG,REG,REG,FREE,1
crewafy,FREE,FREE,FREE,FREE,FREE,5
crewaly,FREE,FREE,REG,FREE,FREE,4
crewbuck,FREE,FREE,FREE,FREE,REG,4
crewbump,FREE,FREE,FREE,FREE,FREE,5
crewely,FREE,FREE,REG,FREE,FREE,4
crewfling,FREE,FREE,FREE,FREE,REG,4
crewico,FREE,FREE,FREE,FREE,FREE,5
crewona,FREE,FREE,REG,FREE,FREE,4
crewoso,FREE,FREE,FREE,FREE,REG,4
crewshoot,FREE,FREE,FREE,FREE,FREE,5
crewslide,FREE,FREE,REG,FREE,FREE,4
crewsplit,FREE,FREE,FREE,FREE,REG,4
crewspread,FREE,FREE,FREE,FREE,FREE,5
crewufy,FREE,FREE,REG,FREE,FREE,4
dashaly,FREE,FREE,FREE,FREE,REG,4
dashema,FREE,FREE,FREE,FREE,FREE,5
dashfellow,FREE,FREE,REG,FREE,FREE,4
dashfity,FREE,FREE,FREE,FREE,REG,4
dashfolk,FREE,FREE,FREE,FREE,FREE,5
dashklan,FREE,FREE,REG,FREE,FREE,4
dashona,FREE,FREE,FREE,FREE,REG,4
dashoso,FREE,FREE,FREE,FREE,FREE,5
dashposse,FREE,FREE,REG,FREE,FREE,4
dashsity,FREE,FREE,FREE,FREE,REG,4
dashsta,FREE,FREE,FREE,FREE,FREE,5
dashufy,FREE,FREE,REG,FREE,FREE,4
dobump,FREE,FREE,FREE,FREE,REG,4
dofling,FREE,FREE,FREE,FREE,FREE,5
dofriend,FREE,FREE,REG,FREE,FREE,4
doposse,FREE,FREE,FREE,FREE,REG,4
dropaly,FREE,FREE,FREE,FREE,FREE,5
dropbuck,FREE,FREE,REG,FREE,FREE,4
dropbuddy,REG,FREE,FREE,FREE,FREE,4
dropfellow,FREE,FREE,FREE,FREE,REG,4
dropfity,FREE,FREE,FREE,FREE,FREE,5
dropklan,FREE,FREE,REG,FREE,FREE,4
dropona,FREE,FREE,FREE,FREE,REG,4
droposo,FREE,FREE,FREE,FREE,FREE,5
dropvity,FREE,FREE,REG,FREE,FREE,4
easyklan,FREE,FREE,FREE,FREE,REG,4
ensemble,REG,?,?,?,FREE,1
fambeam,FREE,FREE,FREE,FREE,FREE,5
fambuck,FREE,FREE,REG,FREE,FREE,4
famfling,FREE,FREE,FREE,FREE,REG,4
familia,REG,?,?,?,FREE,1
fammint,FREE,FREE,FREE,FREE,FREE,5
fammove,FREE,FREE,REG,FREE,FREE,4
fampush,FREE,FREE,FREE,FREE,REG,4
famshoot,FREE,FREE,FREE,FREE,FREE,5
famslide,FREE,FREE,REG,FREE,FREE,4
famsplit,FREE,REG,FREE,FREE,REG,3
famspread,FREE,FREE,FREE,FREE,FREE,5
famswipe,FREE,FREE,REG,FREE,FREE,4
famufy,FREE,FREE,FREE,FREE,REG,4
fastposse,FREE,FREE,FREE,FREE,FREE,5
fellowafy,FREE,FREE,REG,FREE,FREE,4
fellowaly,FREE,FREE,FREE,FREE,REG,4
fellowara,FREE,FREE,FREE,FREE,FREE,5
fellowaro,FREE,FREE,REG,FREE,FREE,4
fellowbeam,FREE,FREE,FREE,FREE,REG,4
fellowblast,FREE,FREE,FREE,FREE,FREE,5
fellowbump,FREE,FREE,REG,FREE,FREE,4
fellowdash,FREE,FREE,FREE,FREE,REG,4
fellowely,FREE,FREE,FREE,FREE,FREE,5
fellowema,FREE,FREE,REG,FREE,FREE,4
fellowena,FREE,FREE,FREE,FREE,REG,4
fellowfling,FREE,FREE,FREE,FREE,FREE,5
fellowgive,FREE,FREE,REG,FREE,FREE,4
fellowgold,FREE,FREE,FREE,FREE,REG,4
fellowhop,FREE,FREE,FREE,FREE,FREE,5
fellowia,FREE,FREE,REG,FREE,FREE,4
fellowify,FREE,FREE,FREE,FREE,REG,4
fellowio,FREE,FREE,FREE,FREE,FREE,5
fellowjet,FREE,FREE,REG,FREE,FREE,4
fellowlift,FREE,FREE,FREE,FREE,REG,4
fellowmint,FREE,FREE,FREE,FREE,FREE,5
fellowmoney,FREE,FREE,REG,FREE,FREE,4
fellowmove,FREE,FREE,FREE,FREE,REG,4
fellowona,FREE,FREE,FREE,FREE,FREE,5
fellowoso,FREE,FREE,REG,FREE,FREE,4
fellowping,FREE,FREE,FREE,FREE,REG,4
fellowpop,FREE,FREE,FREE,FREE,FREE,5
fellowroute,FREE,FREE,REG,FREE,FREE,4
fellowrun,FREE,FREE,FREE,FREE,REG,4
fellowsend,FREE,FREE,FREE,FREE,FREE,5
fellowslide,FREE,FREE,REG,FREE,FREE,4
fellowsplit,FREE,FREE,FREE,FREE,REG,4
fellowspread,FREE,FREE,FREE,FREE,FREE,5
fellowswipe,FREE,FREE,REG,FREE,FREE,4
fellowtap,FREE,FREE,FREE,FREE,REG,4
fellowufy,FREE,FREE,FREE,FREE,FREE,5
fellowwire,FREE,FREE,REG,FREE,FREE,4
fellowzap,FREE,FREE,FREE,FREE,REG,4
flingafy,FREE,FREE,FREE,FREE,FREE,5
flingaly,FREE,FREE,REG,FREE,FREE,4
flingana,FREE,FREE,FREE,FREE,REG,4
flingara,FREE,FREE,FREE,FREE,FREE,5
flingband,FREE,FREE,REG,FREE,FREE,4
flingbank,FREE,FREE,FREE,FREE,REG,4
flingbuck,FREE,FREE,FREE,FREE,FREE,5
flingclan,FREE,FREE,REG,FREE,FREE,4
flingcrew,FREE,FREE,FREE,FREE,REG,4
flingee,FREE,FREE,FREE,FREE,FREE,5
flingema,FREE,FREE,REG,FREE,FREE,4
flingena,FREE,FREE,FREE,FREE,REG,4
flingey,FREE,FREE,FREE,FREE,FREE,5
flingfellow,FREE,FREE,REG,FREE,FREE,4
flingfolk,FREE,FREE,FREE,FREE,REG,4
flingfund,FREE,FREE,FREE,FREE,FREE,5
flingfy,FREE,FREE,REG,FREE,FREE,4
flinggang,FREE,FREE,FREE,FREE,REG,4
flingico,FREE,FREE,FREE,FREE,FREE,5
flingkin,FREE,FREE,REG,FREE,FREE,4
flingklan,FREE,FREE,FREE,FREE,REG,4
flingmoney,FREE,FREE,FREE,FREE,FREE,5
flingona,FREE,FREE,REG,FREE,FREE,4
flingoro,FREE,FREE,FREE,FREE,REG,4
flingpeer,FREE,FREE,FREE,FREE,FREE,5
flingsity,FREE,FREE,REG,FREE,FREE,4
flingsquad,FREE,FREE,FREE,FREE,REG,4
flingufy,FREE,FREE,FREE,FREE,FREE,5
flingvity,FREE,FREE,REG,FREE,FREE,4
flowoso,FREE,FREE,FREE,FREE,REG,4
flowufy,FREE,FREE,FREE,FREE,FREE,5
folkafy,FREE,FREE,REG,FREE,FREE,4
folkblast,FREE,FREE,FREE,FREE,REG,4
folkbuck,FREE,FREE,FREE,FREE,FREE,5
folkbump,FREE,FREE,REG,FREE,FREE,4
folkdash,FREE,FREE,FREE,FREE,REG,4
folkdrop,FREE,FREE,FREE,FREE,FREE,5
folkely,FREE,FREE,REG,FREE,FREE,4
folkena,FREE,FREE,FREE,FREE,REG,4
folkfling,FREE,FREE,FREE,FREE,FREE,5
folkfy,FREE,FREE,REG,FREE,FREE,4
folkico,FREE,FREE,FREE,FREE,REG,4
folkmint,FREE,FREE,FREE,FREE,FREE,5
folkona,FREE,FREE,REG,FREE,FREE,4
folkoro,FREE,FREE,FREE,FREE,REG,4
folkoso,FREE,FREE,FREE,FREE,FREE,5
folkping,FREE,FREE,REG,FREE,FREE,4
folkpush,FREE,FREE,FREE,FREE,REG,4
folkroute,FREE,FREE,FREE,FREE,FREE,5
folksend,FREE,FREE,REG,FREE,FREE,4
folkshoot,FREE,FREE,FREE,FREE,REG,4
folkslide,FREE,FREE,FREE,FREE,FREE,5
folksplit,FREE,FREE,REG,FREE,FREE,4
folkspread,FREE,FREE,FREE,FREE,REG,4
folkswipe,FREE,FREE,FREE,FREE,FREE,5
folkufy,FREE,FREE,REG,FREE,FREE,4
folkzap,FREE,FREE,FREE,FREE,REG,4
folkzip,FREE,FREE,FREE,FREE,FREE,5
freeposse,FREE,FREE,REG,FREE,FREE,4
friendafy,FREE,FREE,FREE,FREE,REG,4
friendaro,FREE,FREE,FREE,FREE,FREE,5
friendema,FREE,FREE,REG,FREE,FREE,4
friendena,FREE,FREE,FREE,FREE,REG,4
friendfling,FREE,FREE,FREE,FREE,FREE,5
friendmint,FREE,FREE,REG,FREE,FREE,4
friendona,FREE,FREE,FREE,FREE,REG,4
friendoso,FREE,FREE,FREE,FREE,FREE,5
friendslide,FREE,FREE,REG,FREE,FREE,4
friendspread,FREE,FREE,ERR,FREE,REG,3
friendufy,FREE,FREE,FREE,FREE,FREE,5
fundfling,FREE,ERR,REG,FREE,FREE,3
fundklan,FREE,FREE,FREE,FREE,REG,4
fundufy,FREE,ERR,FREE,FREE,FREE,4
fundvity,FREE,FREE,ERR,FREE,FREE,4
gangafy,FREE,FREE,ERR,FREE,REG,3
gangbeam,FREE,FREE,FREE,FREE,FREE,5
gangblast,FREE,ERR,REG,FREE,FREE,3
gangbuck,FREE,ERR,FREE,FREE,REG,3
gangcash,FREE,FREE,FREE,FREE,FREE,5
gangcast,FREE,FREE,REG,FREE,FREE,4
gangema,FREE,FREE,FREE,FREE,REG,4
gangena,FREE,FREE,FREE,FREE,FREE,5
gangfling,FREE,FREE,REG,FREE,FREE,4
ganggive,FREE,FREE,FREE,FREE,REG,4
ganghop,FREE,FREE,FREE,FREE,FREE,5
gangico,FREE,FREE,REG,FREE,FREE,4
gangjet,FREE,FREE,FREE,FREE,REG,4
ganglift,FREE,FREE,FREE,FREE,FREE,5
gangmove,FREE,FREE,REG,FREE,FREE,4
gangona,FREE,FREE,FREE,FREE,REG,4
gangoro,FREE,FREE,FREE,FREE,FREE,5
gangpop,FREE,FREE,REG,FREE,FREE,4
gangpost,FREE,FREE,FREE,FREE,REG,4
gangpush,FREE,FREE,FREE,FREE,FREE,5
gangsend,FREE,FREE,REG,FREE,FREE,4
gangshoot,FREE,FREE,FREE,FREE,REG,4
gangsplit,FREE,FREE,FREE,FREE,FREE,5
gangspread,FREE,FREE,REG,FREE,FREE,4
gangtap,FREE,FREE,FREE,FREE,REG,4
gangufy,FREE,FREE,FREE,FREE,FREE,5
gangwire,FREE,FREE,REG,FREE,FREE,4
gangzap,FREE,FREE,FREE,FREE,REG,4
gangzip,FREE,FREE,FREE,FREE,FREE,5
gente,REG,?,?,?,FREE,1
getfriend,FREE,FREE,REG,FREE,FREE,4
getklan,FREE,FREE,FREE,FREE,REG,4
getmoneymate,REG,REG,FREE,FREE,FREE,3
getmoneypal,FREE,FREE,FREE,FREE,FREE,5
getmymate,REG,FREE,FREE,FREE,FREE,4
getmypal,REG,FREE,FREE,FREE,FREE,4
getpaybuddy,REG,FREE,FREE,FREE,FREE,4
getpaymate,PARKED,FREE,FREE,FREE,FREE,4
getsendbuddy,PARKED,FREE,FREE,FREE,FREE,4
getsendmate,FREE,FREE,FREE,FREE,FREE,5
getsendpal,FREE,FREE,FREE,FREE,FREE,5
ghar,REG,?,?,?,FREE,1
giveafy,FREE,FREE,FREE,FREE,FREE,5
giveana,FREE,FREE,REG,FREE,FREE,4
giveara,FREE,FREE,FREE,FREE,REG,4
givearo,FREE,FREE,FREE,FREE,FREE,5
givebuddy,PARKED,FREE,FREE,PARKED,FREE,3
giveclan,FREE,FREE,REG,FREE,FREE,4
giveclub,PARKED,FREE,FREE,FREE,FREE,4
givecrew,REG,FREE,FREE,FREE,FREE,4
giveema,FREE,FREE,FREE,FREE,REG,4
giveena,FREE,FREE,FREE,FREE,FREE,5
givefity,FREE,FREE,REG,FREE,FREE,4
givefolk,FREE,FREE,FREE,FREE,REG,4
givegroup,FREE,FREE,FREE,FREE,FREE,5
givekin,FREE,FREE,REG,FREE,FREE,4
giveklan,FREE,FREE,FREE,FREE,REG,4
giveoso,FREE,FREE,FREE,FREE,FREE,5
givepeer,REG,FREE,FREE,FREE,FREE,4
giveposse,FREE,FREE,REG,FREE,FREE,4
givesity,FREE,FREE,FREE,FREE,REG,4
givesquad,REG,FREE,FREE,FREE,FREE,4
givesta,FREE,FREE,FREE,FREE,FREE,5
giveteam,PARKED,FREE,FREE,FREE,FREE,4
giveufy,FREE,FREE,REG,FREE,FREE,4
givevity,FREE,FREE,FREE,FREE,REG,4
goldafy,FREE,FREE,FREE,FREE,FREE,5
goldklan,FREE,FREE,REG,FREE,FREE,4
goldspread,FREE,FREE,FREE,FREE,REG,4
goldufy,FREE,FREE,FREE,FREE,FREE,5
gopaymate,REG,REG,FREE,FREE,FREE,3
gosendpal,FREE,FREE,FREE,FREE,FREE,5
groupafy,FREE,FREE,REG,FREE,FREE,4
groupaly,FREE,FREE,FREE,FREE,REG,4
groupbuck,FREE,FREE,FREE,FREE,FREE,5
groupbump,FREE,FREE,REG,FREE,FREE,4
groupfling,FREE,FREE,FREE,FREE,REG,4
groupspread,FREE,FREE,FREE,FREE,FREE,5
hallo,REG,?,?,?,FREE,1
hellopaymate,FREE,FREE,FREE,FREE,FREE,5
helloposse,FREE,FREE,REG,FREE,FREE,4
heykin,FREE,REG,FREE,FREE,REG,3
heyklan,FREE,FREE,FREE,FREE,FREE,5
heyposse,FREE,FREE,REG,FREE,FREE,4
hiklan,FREE,FREE,FREE,FREE,REG,4
hipaybuddy,FREE,FREE,FREE,FREE,FREE,5
hipaymate,FREE,FREE,FREE,FREE,FREE,5
hisendmate,FREE,FREE,FREE,FREE,FREE,5
hisendpal,FREE,FREE,FREE,FREE,FREE,5
holaband,FREE,FREE,FREE,FREE,FREE,5
holabuck,FREE,REG,REG,FREE,FREE,3
holaclan,FREE,FREE,FREE,FREE,REG,4
holagang,FREE,FREE,FREE,FREE,FREE,5
holakin,FREE,FREE,REG,FREE,FREE,4
holaklan,FREE,FREE,FREE,FREE,REG,4
holamint,FREE,FREE,FREE,FREE,FREE,5
holapeer,FREE,FREE,REG,FREE,FREE,4
holaring,FREE,FREE,FREE,FREE,REG,4
holasquad,FREE,FREE,FREE,FREE,FREE,5
hopafy,FREE,FREE,REG,FREE,FREE,4
hopbuck,FREE,FREE,FREE,FREE,REG,4
hopfellow,FREE,FREE,FREE,FREE,FREE,5
hopfity,FREE,FREE,REG,FREE,FREE,4
hopfriend,FREE,FREE,FREE,FREE,REG,4
hopklan,FREE,FREE,FREE,FREE,FREE,5
hopmint,FREE,FREE,REG,FREE,FREE,4
hopona,FREE,FREE,FREE,FREE,REG,4
hopposse,FREE,FREE,FREE,FREE,FREE,5
hopring,FREE,FREE,REG,FREE,FREE,4
hopvity,FREE,FREE,FREE,FREE,REG,4
hubbump,FREE,FREE,FREE,FREE,FREE,5
hubema,FREE,FREE,REG,FREE,FREE,4
hubfling,FREE,FREE,FREE,FREE,REG,4
hubona,FREE,FREE,FREE,FREE,FREE,5
hubswipe,FREE,FREE,REG,FREE,FREE,4
hubufy,FREE,FREE,FREE,FREE,REG,4
insieme,?,?,?,?,FREE,1
instantclan,FREE,FREE,FREE,FREE,FREE,5
instantfolk,FREE,FREE,REG,FREE,FREE,4
instantgang,FREE,FREE,FREE,FREE,REG,4
instantkin,FREE,FREE,FREE,FREE,FREE,5
instantklan,FREE,FREE,REG,FREE,FREE,4
instantposse,FREE,FREE,FREE,FREE,REG,4
jetaro,FREE,FREE,FREE,FREE,FREE,5
jetely,FREE,FREE,REG,FREE,FREE,4
jetfity,FREE,FREE,FREE,FREE,REG,4
jetklan,FREE,FREE,FREE,FREE,FREE,5
jetposse,FREE,FREE,REG,FREE,FREE,4
jetvity,FREE,FREE,FREE,FREE,REG,4
joinfling,FREE,FREE,FREE,FREE,FREE,5
joinklan,FREE,FREE,REG,FREE,FREE,4
joinmoneymate,FREE,FREE,FREE,FREE,FREE,5
joinmoneypal,FREE,FREE,FREE,FREE,FREE,5
joinmypal,REG,FREE,FREE,FREE,FREE,4
joinpaybuddy,FREE,FREE,FREE,FREE,FREE,5
joinpaymate,REG,FREE,FREE,FREE,FREE,4
